,uid,years,minutes,sqrm,distance,renovate,express,price,predict
1029,13114-1344,8,9,75,7.768447716,0,0,69000000,64171413.632518865
1030,13114-1345,8,9,65,7.768447716,0,0,63000000,56713135.03594114
1031,13114-1352,7,3,65,7.768447716,0,0,63000000,63363135.95585006
1032,13114-1353,50,1,30,7.768447716,0,0,16000000,15401075.084055558
1033,13114-1354,28,2,85,7.768447716,0,0,68000000,67628435.86585477
1034,13114-1355,9,1,60,7.768447716,0,0,57000000,60554330.79009857
1035,13114-1356,28,5,20,7.768447716,0,0,13000000,16102410.136880565
1036,13114-1362,50,1,50,7.768447716,1,0,38000000,33622916.942361325
1037,13114-1364,50,1,55,7.768447716,1,0,34000000,37352056.24065019
1038,13114-1365,12,3,70,7.768447716,1,0,61000000,67619703.83193438
1039,13114-1366,12,3,65,7.768447716,0,0,70000000,60585279.8684952
1040,13114-1367,54,4,25,7.768447716,0,0,8000000,6402436.064663835
1041,13114-1372,6,7,65,7.768447716,0,0,71000000,59855754.0383624
1042,13114-1373,44,0,15,7.768447716,0,0,8000000,8562822.777754456
1043,13114-1374,12,3,20,7.768447716,0,0,22000000,27023026.183895428
1044,13114-1375,6,7,60,7.768447716,0,0,55000000,56126614.74007354
1045,13114-1376,16,6,40,7.768447716,0,0,35000000,36670083.65594802
1046,13114-1377,8,1,50,7.768447716,1,0,60000000,56956908.076142125
1047,13114-1382,17,8,70,7.768447716,0,0,60000000,56457871.66073092
1048,13114-1383,50,7,35,7.768447716,0,0,15000000,13035784.679906469
1049,13114-1384,12,3,70,7.768447716,0,0,75000000,64314419.16678407
1050,13114-1389,50,1,50,7.768447716,1,0,35000000,33622916.942361325
1051,13114-1390,50,7,45,7.768447716,0,0,9600000,20494063.2764842
1052,13114-1391,50,1,55,7.768447716,1,0,41000000,37352056.24065019
1053,13114-1392,4,1,60,7.768447716,0,0,76000000,63332186.87745343
1054,13114-1393,4,1,55,7.768447716,0,0,68000000,59603047.579164565
1055,13114-1394,4,1,60,7.768447716,0,0,84000000,63332186.87745343
1056,13114-1399,15,2,30,7.768447716,0,0,20000000,33830329.4117999
